SHIPMT_ID,ORIG_STATE,ORIG_MA,ORIG_CFS_AREA,DEST_STATE,DEST_MA,DEST_CFS_AREA,NAICS,QUARTER,SCTG,MODE,SHIPMT_VALUE,SHIPMT_WGHT,SHIPMT_DIST_GC,SHIPMT_DIST_ROUTED,TEMP_CNTL_YN,EXPORT_YN,EXPORT_CNTRY,HAZMAT,WGT_FACTOR
0032310,51,99999,51-99999,51,99999,51-99999,4247,1,19,05,181,29,6,7,N,N,N,H,20903.2
0032311,01,142,01-142,01,142,01-142,212,1,12,05,126,30110,33,39,N,N,N,N,636.6
0032312,31,99999,31-99999,24,47900,24-47900,314,1,30,14,387,91,1077,1248,N,N,N,N,48.5
0032313,06,260,06-260,06,260,06-260,4233,2,26,04,9313,41690,34,39,N,N,N,N,67.7
0032314,06,348,06-348,21,178,21-178,326,3,24,04,43374,40338,1847,2132,N,N,N,N,145.3
0032315,53,500,53-500,41,440,41-440,311,3,06,05,168705,124659,143,173,N,N,N,N,58.8
0032316,12,422,12-422,35,99999,35-99999,333,1,34,14,2187,107,1673,2022,N,N,N,N,296.1
0032317,49,482,49-482,49,482,49-482,4236,3,35,05,10,3,32,40,N,N,N,N,4438.6
0032318,22,99999,22-99999,01,142,01-142,4541,4,24,14,616,142,421,469,N,N,N,N,5102.4
0032319,48,288,48-288,48,288,48-288,326,4,24,04,6208,5345,16,20,N,N,N,N,58.9
0032320,39,178,39-178,47,368,47-368,311,1,07,05,1375,4208,419,490,Y,N,N,N,108.5
0032321,21,350,21-350,18,99999,18-99999,321,1,26,05,2607,4600,13,22,N,N,N,N,237.2
0032322,06,348,06-348,06,348,06-348,4242,2,20,04,99524,2869,47,55,Y,Y,O,N,248.7
0032323,18,294,18-294,42,99999,42-99999,337,2,24,04,518,184,516,596,N,N,N,N,1585.0
0032324,40,538,40-538,19,99999,19-99999,325,4,24,04,39021,39773,392,586,N,N,N,N,29.3
0032325,13,122,13-122,13,122,13-122,322,1,32,05,40689,20049,75,84,N,N,N,N,53.7
0032326,26,266,26-266,26,266,26-266,4241,2,43,05,685,301,9,14,N,N,N,N,854.5
0032327,08,99999,08-99999,31,99999,31-99999,325,1,23,14,311,60,544,680,N,N,N,N,172.3
0032328,05,99999,05-99999,05,99999,05-99999,325,4,23,04,2581,41642,25,37,N,N,N,H,23.4
0032329,45,273,45-273,45,273,45-273,326,2,24,04,5244,9042,5,7,N,N,N,N,78.7
0032330,40,99999,40-99999,40,99999,40-99999,4244,4,07,05,1977,9887,49,64,N,N,N,N,567.1
0032331,45,273,45-273,45,273,45-273,4236,1,30,04,86,3,5,7,N,N,N,N,407.7
0032332,08,99999,08-99999,17,176,17-176,333,2,33,14,974,3,910,1009,N,N,N,N,14.3
0032333,55,376,55-376,48,206,48-206,335,4,35,14,1466,56,839,1052,N,N,N,N,140.0
0032334,13,99999,13-99999,13,99999,13-99999,4242,1,21,14,22,1,53,59,N,N,N,N,1632.1
0032335,32,332,32-332,32,332,32-332,4248,1,08,05,148,241,7,9,Y,N,N,N,782.6
0032336,09,25540,09-25540,37,172,37-172,322,4,27,04,25830,35949,634,795,N,N,N,N,13.9
0032337,17,176,17-176,18,294,18-294,4231,1,43,05,12,2,165,187,N,N,N,N,23070.4
0032338,55,99999,55-99999,55,99999,55-99999,4239,3,41,04,2672,27746,57,76,N,N,N,N,41.9
0032339,06,348,06-348,06,348,06-348,331,1,32,04,7102,1641,6,6,N,N,N,N,736.1
0032340,56,99999,56-99999,08,216,08-216,334,2,35,14,1603,18,82,93,N,N,N,N,145.8
0032341,06,348,06-348,06,348,06-348,4246,3,33,05,341,34,95,108,N,N,N,N,3581.8
0032342,48,13140,48-13140,48,288,48-288,4241,3,29,14,49,2,85,96,N,N,N,N,198.4
0032343,34,408,34-408,36,464,36-464,4231,1,20,04,20053,5479,219,288,N,N,N,N,61.0
0032344,10,99999,10-99999,10,99999,10-99999,327,3,40,05,640,30682,10,12,N,N,N,N,41.9
0032345,20,99999,20-99999,20,99999,20-99999,4247,2,28,05,144,16,13,13,N,N,N,N,6394.5
0032346,25,99999,25-99999,25,99999,25-99999,212,3,12,05,459,76531,10,11,N,N,N,N,993.2
0032347,06,348,06-348,06,348,06-348,4236,3,43,14,9,3,63,74,N,N,N,N,28079.7
0032348,36,160,36-160,06,348,06-348,327,2,31,04,109213,47089,2185,2509,N,N,N,N,33.0
0032349,09,408,09-408,36,408,36-408,321,1,26,05,5833,637,36,46,N,N,N,N,268.3
0032350,48,206,48-206,06,348,06-348,4245,2,03,15,137576,148285,1239,1624,N,Y,O,N,118.6
0032351,36,408,36-408,26,220,26-220,336,1,32,14,4428,44,529,677,N,N,N,N,70.5
0032352,17,176,17-176,55,376,55-376,326,4,24,05,11855,1951,71,95,N,N,N,N,74.1
0032353,39,184,39-184,06,488,06-488,322,1,28,04,1220,2192,2112,2434,N,N,N,N,24.5
0032354,06,488,06-488,06,488,06-488,5111,4,29,05,342,278,9,11,N,N,N,N,67.2
0032355,49,482,49-482,49,482,49-482,4231,1,36,05,35,9,66,79,N,N,N,N,2633.4
0032356,17,176,17-176,48,288,48-288,4249,2,40,14,145,12,952,1232,N,N,N,N,764.1
0032357,47,99999,47-99999,22,406,22-406,325,2,24,04,63264,46888,468,532,N,Y,O,N,118.1
0032358,29,99999,29-99999,29,99999,29-99999,4231,2,34,05,14,1,3,4,N,N,N,N,9601.1
0032359,26,99999,26-99999,26,266,26-266,327,2,31,05,4952,120231,156,200,N,N,N,N,11.6
0032360,26,99999,26-99999,18,99999,18-99999,321,4,26,04,15796,50798,411,568,N,N,N,N,42.1
0032361,12,300,12-300,01,142,01-142,4931,4,43,05,970,6303,361,491,Y,N,N,N,343.0
0032362,12,99999,12-99999,36,408,36-408,326,3,24,14,229,10,1105,1302,N,N,N,N,23288.1
0032363,36,408,36-408,36,408,36-408,332,2,33,14,339,65,7,8,N,N,N,N,1152.5
0032364,08,99999,08-99999,18,99999,18-99999,339,3,35,14,1408,54,1052,1189,N,N,N,N,225.7
